1, Am Kirchle, 3-5-2-6-12-10-8-14-5-7-9-24-22-20-18
2, Am Kirchle, 16-1
2, Haupstr., 15-22-17-21-26-23-27-28-30-32-29
3, Kirchenstr., 2-1-3-5-6
3, St.-Martin-Platz, 1
3, Pfarrer-Baumeister-Weg, 1
3, Kirchenstr, 4
4, Haupstr., 34-36-31-38-40-42
4, Gartnerweg, 1-3-2
5, Haupstr., 37-44-39-46-48-52-51
5, Am Feldtor, 2-4
6, An der Kohlstatt, 17-2-1-3-5-7-9-11-15
7, Hinter den Gärten, 1-2-4-3-6-5-8-7-10-9-12-11-13-16-14
8, Haupstr., 56-43-45-47
9, Naichen, 2-1-3
10, Zum Hammerschmiede, 3-2
11, Naichen, 11-13-13A-10-10A-12-14-16-17-18-20-22-21-23
12, Naichen, 27-29-31-29A
13, Mühlweg, 2-4-1-6-3-5-7-9-12-11-16-18-15-15A-17-20-22
14, Riedstr., 22
15, Riedstr., 13-20-18-9-16-7-14A-5-14-12-3-8
16, Schulgasse, 2
16, Riedstr., 6-1-4-2
16, Webergasse, 2
16, Kirchenstr., 8
16, Schulgasse, 4
17, Haupstr., 35
18, Edelstetter Str., 3-5-11-2-4-6-10-12-13-15
19, Edelstetter Str., 17-19-19A-14-21-16-23-25-27-29-18-20-22-33-31
20, Zum Burgberg, 4A-4-2-6-1-8-3-5-10-7-12
21, Sonnenstr., 22-11-20-18-14-5-7
22, Zum Burgberg, 9-16-11-18-20-13-26-24-22
23, Waldstr., 16-14-12-10-8-6
23, Sonnenstr., 1-2-3
24, Waldstr., 4-2
24, Ziegeleistr., 15-14-10-9-8-7-6-4-5-3-2
25, Edelstetter Str., 37
26, Simpert-Kraemer-Str., 1-4-2-3-3A-5-5A-6-7-9-8-11-13-10-12-14-18
27, Kirchplatz, 8-3-1
27, Simpert-Kraemer-Str., 15-20-17-22
