28, "Westernachstr.", 4-6-8-2
28, "Hagenrieder Weg", 1-1A-3-3A-5
29, "Am Kreuzberg", 3-5-7-9-11-13-17-19-21-22-20-18-16-14-12-10-6
30, "Kirchplatz", 6
31, "Am Kreuzberg", 2
31, "Hagenrieder weg", 9-4-12-10-8-6-7
32, "Simpert-Kraemer-Str.", 19-21-24-28-26
33, "Attenhauser Str.", 2-6-11-11A-14E-14F-14G-14-14A-14B-14C-14D-12-9-7-5-8-10
34, "Attenhauser Str.", 4-1
34, "Simpert-Kraemer-Str.", 23-25-34-36-38-40-42-44-29-46-48-31-33
35, "St.-Michael-Weg", 1-3-4-2-2A
35, "An der Klinge", 15-19-11-9-7-10-5-8-3-6-4-1-2-1A
35, "Hagenrieder Weg", 4
36, "Fürst-Esterhazy-Str.", 1-2-3-5-7-9-11
37, "Am Brühl", 2-1-4-6-3-5-8-10-7
37, "Pfarrer-Bußigel-Str.", 1-5-2
38, "Am Brühl", 11-13-17-15
38, "Am Täschle", 3-5-7-9-14-12-10-8-6-4-2
39, "Vigneulles Str.", 3-4-7-2
39, "Am Brühl", 14-12
40, "Fürst-Esterhazy-Str.", 13-15-6-8-10
40, "Hirschfelder Weg", 2A-2-3-8-10-4
41, "Hirschfelder Weg", 6
42, "Hirschfelder Weg", 2B
42, "Mechthildisstr.", 13
42, "Haselweg", 1-3-5-4-2
43, "Mechthildisstr.", 11
43, "Westernachstr.", 14-12-10-7-5-9
43, "Mechthildisstr.", 8-7-9A-9-5-6-3-4-1A-1
43, "Flurstr.", 1-3-5
44, "Mechthildisstr.", 2
44, "Attenhauser Str.", 13-17A-17-16-18-23-20A-18A-20-22-25-27-29-24-26-31-33-28-30
45, "An der Schlucht", 2-4-6-1-3-5-8-13-11-7
46, "Im Wiesengrunde", 1-9-3A-3-7-6-5-8
47, "Am Ziegelstadel", 3-7-7A-9-1-2
48, "Attenhauser Str.", 48-50-46-44-40-38-36A-34
48, "Weiherweg", 1-2
49, "Attenhauser Str.", 37-39
50, "Marbach", 1A-1-2
