1, Am Kirchle, 3-5-2-6-12-10-8-14-5-7-9-24-22-20-18
2, Am Kirchle, 16-1
2, Haupstr., 15-22-17-21-26-23-27-28-30-32-29
3, Kirchenstr., 2-1-3-5-6
3, St.-Martin-Platz, 1
3, Pfarrer-Baumeister-Weg, 1
3, Kirchenstr, 4
4, Haupstr., 34-36-31-38-40-42
4, Gartnerweg, 1-3-2
5, Haupstr., 37-44-39-46-48-52-51
5, Am Feldtor, 2-4
6, An der Kohlstatt, 17-2-1-3-5-7-9-11-15
7, Hinter den Gärten, 1-2-4-3-6-5-8-7-10-9-12-11-13-16-14
8, Haupstr., 56-43-45-47
9, Naichen, 2-1-3
10, Zum Hammerschmiede, 3-2
11, Naichen, 11-13-13A-10-10A-12-14-16-17-18-20-22-21-23
12, Naichen, 27-29-31-29A
13, Mühlweg, 2-4-1-6-3-5-7-9-12-11-16-18-15-15A-17-20-22
14, Riedstr., 22
15, Riedstr., 13-20-18-9-16-7-14A-5-14-12-3-8
16, Schulgasse, 2
16, Riedstr., 6-1-4-2
16, Webergasse, 2
16, Kirchenstr., 8
16, Schulgasse, 4
17, Haupstr., 35
18, Edelstetter Str., 3-5-11-2-4-6-10-12-13-15
19, Edelstetter Str., 17-19-19A-14-21-16-23-25-27-29-18-20-22-33-31
20, Zum Burgberg, 4A-4-2-6-1-8-3-5-10-7-12
21, Sonnenstr., 22-11-20-18-14-5-7
22, Zum Burgberg, 9-16-11-18-20-13-26-24-22
23, Waldstr., 16-14-12-10-8-6
23, Sonnenstr., 1-2-3
24, Waldstr., 4-2
24, Ziegeleistr., 15-14-10-9-8-7-6-4-5-3-2
25, Edelstetter Str., 37
26, Simpert-Kraemer-Str., 1-4-2-3-3A-5-5A-6-7-9-8-11-13-10-12-14-18
27, Kirchplatz, 8-3-1
27, Simpert-Kraemer-Str., 15-20-17-22
28, Westernachstr., 4-6-8-2
28, Hagenrieder Weg, 1-1A-3-3A-5
29, Am Kreuzberg, 3-5-7-9-11-13-17-19-21-22-20-18-16-14-12-10-6
30, Kirchplatz, 6
31, Am Kreuzberg, 2
31, Hagenrieder weg, 9-4-12-10-8-6-7
32, Simpert-Kraemer-Str., 19-21-24-28-26
33, Attenhauser Str., 2-6-11-11A-14E-14F-14G-14-14A-14B-14C-14D-12-9-7-5-8-10
34, Attenhauser Str., 4-1
34, Simpert-Kraemer-Str., 23-25-34-36-38-40-42-44-29-46-48-31-33
35, St.-Michael-Weg, 1-3-4-2-2A
35, An der Klinge, 15-19-11-9-7-10-5-8-3-6-4-1-2-1A
35, Hagenrieder Weg, 4
36, Fürst-Esterhazy-Str., 1-2-3-5-7-9-11
37, Am Brühl, 2-1-4-6-3-5-8-10-7
37, Pfarrer-Bußigel-Str., 1-5-2
38, Am Brühl, 11-13-17-15
38, Am Täschle, 3-5-7-9-14-12-10-8-6-4-2
39, Vigneulles Str., 3-4-7-2
39, Am Brühl, 14-12
40, Fürst-Esterhazy-Str., 13-15-6-8-10
40, Hirschfelder Weg, 2A-2-3-8-10-4
41, Hirschfelder Weg, 6
42, Hirschfelder Weg, 2B
42, Mechthildisstr., 13
42, Haselweg, 1-3-5-4-2
43, Mechthildisstr., 11
43, Westernachstr., 14-12-10-7-5-9
43, Mechthildisstr., 8-7-9A-9-5-6-3-4-1A-1
43, Flurstr., 1-3-5
44, Mechthildisstr., 2
44, Attenhauser Str., 13-17A-17-16-18-23-20A-18A-20-22-25-27-29-24-26-31-33-28-30
45, An der Schlucht, 2-4-6-1-3-5-8-13-11-7
46, Im Wiesengrunde, 1-9-3A-3-7-6-5-8
47, Am Ziegelstadel, 3-7-7A-9-1-2
48, Attenhauser Str., 48-50-46-44-40-38-36A-34
48, Weiherweg, 1-2
49, Attenhauser Str., 37-39
50, Marbach, 1A-1-2
